1. d8h c1v
2. a8h c7v
3. b7h a6h
4. b5v c5h
5. d6v e8v
6. e6h g6h
7. h6v h4h
8. f4h d4h
9. d3v c3h
10. b2v f7v
11. d9 e2
12. c9 d2
13. c8 d3
14. b8 c3
15. a8 c2
16. a7 c1
17. b7 b1
18. c7 b2
19. c6 b3
20. d6 b4
21. d7 b3
22. d8 b4
23. e8 c4
24. e7 c5
25. f7 d5
26. f8 e5
27. f9 f5
28. g9 g5
29. h9 h5
30. i9 i5
31. i8 i6
32. i7 i5
33. i6 h5
34. i7 g5
35. i6 h5
36. i5 i6
37. i7 i5
38. i6 h5
39. i7 h6
40. i8 h5
41. h8 h6
42. i8 h5
43. h8 h6
44. i8 h5
45. i7 h6
46. i6 h5
47. i7 h6
48. i8 h5
49. h8 h6
50. i8 h5
51. h8 h6
52. i8 h5
53. i7 i5
54. i6 h5
55. i5 h6
56. h5 g5
57. f5 e5
58. f6 e6
